Collating MC for Lst1405run 2
WD = /data1/avenkate/JpsiLambda/massdump/mc/LooseLL
hadd Target file: /data1/avenkate/JpsiLambda_RESTART/rootFiles/mcFiles/JpsiLambda/Lst1405/run2/lst1405.root
hadd compression setting for all ouput: 1
hadd Source file 1: Lst1405/2015_MagDown/1374_0/jpsilambda.root
hadd Source file 2: Lst1405/2015_MagDown/1374_1/jpsilambda.root
hadd Source file 3: Lst1405/2015_MagDown/1374_10/jpsilambda.root
hadd Source file 4: Lst1405/2015_MagDown/1374_11/jpsilambda.root
hadd Source file 5: Lst1405/2015_MagDown/1374_12/jpsilambda.root
hadd Source file 6: Lst1405/2015_MagDown/1374_13/jpsilambda.root
hadd Source file 7: Lst1405/2015_MagDown/1374_14/jpsilambda.root
hadd Source file 8: Lst1405/2015_MagDown/1374_15/jpsilambda.root
hadd Source file 9: Lst1405/2015_MagDown/1374_16/jpsilambda.root
hadd Source file 10: Lst1405/2015_MagDown/1374_17/jpsilambda.root
hadd Source file 11: Lst1405/2015_MagDown/1374_18/jpsilambda.root
hadd Source file 12: Lst1405/2015_MagDown/1374_2/jpsilambda.root
hadd Source file 13: Lst1405/2015_MagDown/1374_4/jpsilambda.root
hadd Source file 14: Lst1405/2015_MagDown/1374_5/jpsilambda.root
hadd Source file 15: Lst1405/2015_MagDown/1374_6/jpsilambda.root
hadd Source file 16: Lst1405/2015_MagDown/1374_7/jpsilambda.root
hadd Source file 17: Lst1405/2015_MagDown/1374_8/jpsilambda.root
hadd Source file 18: Lst1405/2015_MagDown/1374_9/jpsilambda.root
hadd Source file 19: Lst1405/2015_MagUp/1375_0/jpsilambda.root
hadd Source file 20: Lst1405/2015_MagUp/1375_1/jpsilambda.root
hadd Source file 21: Lst1405/2015_MagUp/1375_10/jpsilambda.root
hadd Source file 22: Lst1405/2015_MagUp/1375_11/jpsilambda.root
hadd Source file 23: Lst1405/2015_MagUp/1375_12/jpsilambda.root
hadd Source file 24: Lst1405/2015_MagUp/1375_13/jpsilambda.root
hadd Source file 25: Lst1405/2015_MagUp/1375_14/jpsilambda.root
hadd Source file 26: Lst1405/2015_MagUp/1375_15/jpsilambda.root
hadd Source file 27: Lst1405/2015_MagUp/1375_16/jpsilambda.root
hadd Source file 28: Lst1405/2015_MagUp/1375_17/jpsilambda.root
hadd Source file 29: Lst1405/2015_MagUp/1375_18/jpsilambda.root
hadd Source file 30: Lst1405/2015_MagUp/1375_19/jpsilambda.root
hadd Source file 31: Lst1405/2015_MagUp/1375_2/jpsilambda.root
hadd Source file 32: Lst1405/2015_MagUp/1375_20/jpsilambda.root
hadd Source file 33: Lst1405/2015_MagUp/1375_3/jpsilambda.root
hadd Source file 34: Lst1405/2015_MagUp/1375_4/jpsilambda.root
hadd Source file 35: Lst1405/2015_MagUp/1375_5/jpsilambda.root
hadd Source file 36: Lst1405/2015_MagUp/1375_6/jpsilambda.root
hadd Source file 37: Lst1405/2015_MagUp/1375_7/jpsilambda.root
hadd Source file 38: Lst1405/2015_MagUp/1375_8/jpsilambda.root
hadd Source file 39: Lst1405/2015_MagUp/1375_9/jpsilambda.root
hadd Source file 40: Lst1405/2016_MagDown/1376_0/jpsilambda.root
hadd Source file 41: Lst1405/2016_MagDown/1376_1/jpsilambda.root
hadd Source file 42: Lst1405/2016_MagDown/1376_10/jpsilambda.root
hadd Source file 43: Lst1405/2016_MagDown/1376_11/jpsilambda.root
hadd Source file 44: Lst1405/2016_MagDown/1376_12/jpsilambda.root
hadd Source file 45: Lst1405/2016_MagDown/1376_13/jpsilambda.root
hadd Source file 46: Lst1405/2016_MagDown/1376_14/jpsilambda.root
